"date","class","lat","lon","Beach","density"
"20160125","female",37.1144337648928,-122.329253965776,"BMB",12
"20160125","female",37.1144484301422,-122.329274110153,"BMB",12
"20160125","female",37.1144513735759,-122.32930621698,"BMB",11
"20160125","female",37.1144593286552,-122.329326082569,"BMB",8
"20160125","female",37.1144686313669,-122.329076357643,"BMS",2
"20160125","female",37.1144735282363,-122.329097941683,"BMS",3
"20160125","female",37.1144937756537,-122.329227066358,"BMB",11
"20160125","female",37.1145026853637,-122.329111075688,"BMS",4
"20160125","female",37.1145065714534,-122.329255101942,"BMB",12
"20160125","female",37.1145041356919,-122.329203007077,"BMS",11
"20160125","female",37.1145372493049,-122.329251811093,"BMS",10
"20160125","female",37.1145443697473,-122.329187276595,"BMS",10
"20160125","female",37.1145586324383,-122.329246673784,"BMS",11
"20160125","female",37.1145688178049,-122.32922399358,"BMS",12
"20160125","female",37.114579453339,-122.329269582668,"BMS",12
"20160125","female",37.114589678964,-122.329232716068,"BMS",12
"20160125","female",37.1146076403723,-122.329249673109,"BMS",14
"20160125","female",37.1145998798084,-122.329299433087,"BMB",13
"20160125","female",37.1146352937594,-122.329258038339,"BMS",13
"20160125","female",37.1146467498872,-122.329282421927,"BMB",12
"20160125","female",37.1146471819973,-122.32932183063,"BMB",11
"20160125","female",37.1146581953718,-122.329236834843,"BMS",14
"20160125","female",37.1146748701467,-122.329276751685,"BMS",11
"20160125","female",37.11467173851,-122.329304286864,"BMB",11
"20160125","female",37.1146812297067,-122.329288556518,"BMS",12
"20160125","female",37.114698340463,-122.329318614806,"BMS",10
"20160125","female",37.1147187337876,-122.329308106622,"BMS",12
"20160125","female",37.1147340970508,-122.329184353413,"BMS",4
"20160125","female",37.1147496305948,-122.32927460721,"BMS",10
"20160125","female",37.1147559149367,-122.329216636407,"BMS",6
"20160125","female",37.1147620659671,-122.329323481608,"BMS",7
"20160125","female",37.1147882259533,-122.329253780016,"BMS",6
"20160125","female",37.1147934740238,-122.329311797503,"BMS",5
"20160125","female",37.114886956304,-122.32923880937,"BMC",0
"20160125","female",37.1149667437543,-122.329297948475,"BMC",1
"20160125","female",37.1149694100974,-122.329334233728,"BMC",3
"20160125","female",37.1150171270881,-122.329406962446,"BMC",6
"20160125","female",37.115035276819,-122.329473385149,"BMC",7
"20160125","female",37.1150528423743,-122.329402822971,"BMC",7
"20160125","female",37.1150479179706,-122.329371474495,"BMC",6
"20160125","female",37.1150483042051,-122.329441090652,"BMC",8
"20160125","female",37.115057892054,-122.329485005969,"BMC",9
"20160125","female",37.1150796548301,-122.329580894571,"BMC",3
"20160125","female",37.1151085061484,-122.329493339329,"BMC",9
"20160125","female",37.1151205074363,-122.329459278597,"BMC",9
"20160125","female",37.1151256551638,-122.329424767099,"BMC",9
"20160125","female",37.1151309916119,-122.329501475621,"BMC",7
