"animalID","MomAnimalID","year","weighingdate","weandate","sex","Wt","source","SL","AG","origtag","CL","region","error"
"8393","5772",1985,1985-02-13,1985-02-07,"M",95,"archive_1979_2021",137,4,NA,NA,NA,NA
"8394","18888",NA,NA,NA,"M",9,"archive_1979_2021",NA,NA,NA,NA,NA,NA
"8395","28234",1985,1985-03-07,1985-03-01,"F",105,"archive_1979_2021",7,NA,NA,NA,NA,NA
"8397",NA,NA,NA,NA,"F",135,"archive_1979_2021",NA,NA,NA,NA,NA,NA
"8399","6844",1985,1985-02-13,1985-02-10,"M",165,"archive_1979_2021",160,NA,NA,NA,NA,NA
"8400","5861",1985,1985-02-19,1985-02-07,"M",109,"archive_1979_2021",145,4,NA,NA,NA,NA
"8401","19282",1985,1985-02-12,1985-02-10,"F",141,"archive_1979_2021",147,8,NA,NA,NA,NA
"8402","29480",1985,1985-02-16,1985-02-10,"F",145,"archive_1979_2021",145,9,NA,NA,NA,NA
"8404","4632",1985,1985-02-12,1985-02-12,"M",161,"archive_1979_2021",145,NA,NA,NA,NA,NA
"8405","5465",1985,1985-02-19,1985-02-05,"M",189,"archive_1979_2021",161,5,NA,NA,NA,NA
"8406","5754",1985,1985-02-20,1985-02-10,"M",124,"archive_1979_2021",150,4,NA,NA,NA,NA
"8407","6266",1985,1985-02-20,1985-02-11,"M",103,"archive_1979_2021",137,NA,NA,NA,NA,NA
